movieid,title,cluster
290,Once Were Warriors,14
291,Poison Ivy II,19
292,Outbreak,80
293,Léon: The Professional (a.k.a. The Professional) (Léon),36
294,"Perez Family, The",4
295,"Pyromaniac's Love Story, A",4
296,Pulp Fiction,103
298,Pushing Hands (Tui shou),1
299,Priest,1
300,Quiz Show,1
301,Picture Bride (Bijo photo),9
302,"Queen Margot (Reine Margot, La)",9
303,"Quick and the Dead, The",46
304,Roommates,10
305,Ready to Wear (Pret-A-Porter),2
306,Three Colors: Red (Trois couleurs: Rouge),1
307,Three Colors: Blue (Trois couleurs: Bleu),1
308,Three Colors: White (Trzy kolory: Bialy),10
310,Rent-a-Kid,2
311,Relative Fear,16
312,Stuart Saves His Family,2
313,"Swan Princess, The",50
314,"Secret of Roan Inish, The",183
315,"Specialist, The",40
316,Stargate,5
317,"Santa Clause, The",159
318,"Shawshank Redemption, The",14
319,Shallow Grave,126
320,Suture,43
321,Strawberry and Chocolate (Fresa y chocolate),1
322,Swimming with Sharks,10
324,"Sum of Us, The",10
325,National Lampoon's Senior Trip,2
326,To Live (Huozhe),1
327,Tank Girl,54
328,Tales from the Crypt Presents: Demon Knight,16
329,Star Trek: Generations,87
330,Tales from the Hood,202
331,Tom & Viv,1
332,Village of the Damned,24
333,Tommy Boy,2
334,Vanya on 42nd Street,1
335,Underneath,201
336,"Walking Dead, The",148
337,What's Eating Gilbert Grape,1
338,Virtuosity,29
339,While You Were Sleeping,4
340,"War, The",84
341,Double Happiness,1
342,Muriel's Wedding,2
343,"Baby-Sitters Club, The",3
344,Ace Ventura: Pet Detective,2
345,"Adventures of Priscilla, Queen of the Desert, The",10
346,Backbeat,299
347,Bitter Moon,9
348,Bullets Over Broadway,2
349,Clear and Present Danger,36
350,"Client, The",196
351,"Corrina, Corrina",11
352,Crooklyn,10
353,"Crow, The",20
354,Cobb,1
355,"Flintstones, The",240
356,Forrest Gump,11
357,Four Weddings and a Funeral,4
358,Higher Learning,1
359,I Like It Like That,11
360,I Love Trouble,7
361,It Could Happen to You,11
362,"Jungle Book, The",129
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",22
364,"Lion King, The",273
365,Little Buddha,1
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",17
367,"Mask, The",44
368,Maverick,85
369,Mrs. Parker and the Vicious Circle,1
370,Naked Gun 33 1/3: The Final Insult,7
371,"Paper, The",10
372,Reality Bites,11
373,Red Rock West,43
374,Richie Rich,49
376,"River Wild, The",46
377,Speed,223
378,Speechless,4
379,Timecop,29
380,True Lies,262
381,When a Man Loves a Woman,9
382,Wolf,227
383,Wyatt Earp,77
384,Bad Company,32
385,"Man of No Importance, A",1
386,S.F.W.,1
387,"Low Down Dirty Shame, A",7
388,Boys Life,1
389,"Colonel Chabert, Le",9
390,Faster Pussycat! Kill! Kill!,32
391,Jason's Lyric,14
393,Street Fighter,73
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),246
406,Federal Hill,1
407,In the Mouth of Madness,16
408,8 Seconds,1
409,Above the Rim,14
410,Addams Family Values,240
412,"Age of Innocence, The",1
413,Airheads,2
414,"Air Up There, The",2
415,Another Stakeout,60
416,Bad Girls,77
417,Barcelona,4
418,Being Human,1
419,"Beverly Hillbillies, The",2
420,Beverly Hills Cop III,72
421,Black Beauty,211
422,Blink,43
423,Blown Away,46
424,Blue Chips,1
425,Blue Sky,9
426,Body Snatchers,35
427,Boxing Helena,64
428,"Bronx Tale, A",1
429,Cabin Boy,2
430,Calendar Girl,10
431,Carlito's Way,14
432,City Slickers II: The Legend of Curly's Gold,85
433,Clean Slate,2
434,Cliffhanger,38
435,Coneheads,53
436,Color of Night,19
437,Cops and Robbersons,2
438,"Cowboy Way, The",100
440,Dave,4
441,Dazed and Confused,2
442,Demolition Man,5
444,Even Cowgirls Get the Blues,4
445,Fatal Instinct,2
446,Farewell My Concubine (Ba wang bie ji),9
448,Fearless,1
449,Fear of a Black Hat,2
450,With Honors,10
451,Flesh and Bone,9
452,Widows' Peak,1
453,For Love or Money,4
454,"Firm, The",19
455,Free Willy,211
456,Fresh,23
457,"Fugitive, The",43
458,Geronimo: An American Legend,1
459,"Getaway, The",168
460,Getting Even with Dad,2
461,Go Fish,9
464,Hard Target,90
466,Hot Shots! Part Deux,7
467,Live Nude Girls,2
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",4
469,"House of the Spirits, The",9
470,House Party 3,2
471,"Hudsucker Proxy, The",2
472,I'll Do Anything,10
473,In the Army Now,2
474,In the Line of Fire,46
475,In the Name of the Father,1
476,"Inkwell, The",10
477,What's Love Got to Do with It?,299
478,Jimmy Hollywood,51
479,Judgment Night,20
480,Jurassic Park,33
481,Kalifornia,19
482,Killing Zoe,23
484,Lassie,75
485,Last Action Hero,145
486,Life with Mikey,2
487,Lightning Jack,2
488,M. Butterfly,9
489,Made in America,2
490,Malice,43
491,"Man Without a Face, The",1
492,Manhattan Murder Mystery,2
493,Menace II Society,32
494,Executive Decision,38
495,In the Realm of the Senses (Ai no corrida),1
496,What Happened Was...,191
497,Much Ado About Nothing,4
499,Mr. Wonderful,4
500,Mrs. Doubtfire,10
501,Naked,1
502,"Next Karate Kid, The",223
504,No Escape,104
505,North,2
506,Orlando,89
507,"Perfect World, A",23
508,Philadelphia,1
509,"Piano, The",9
510,Poetic Justice,1
511,"Program, The",13
512,"Puppet Masters, The",24
513,Radioland Murders,4
514,"Ref, The",2
515,"Remains of the Day, The",9
516,Renaissance Man,10
517,Rising Sun,13
518,"Road to Wellville, The",2
519,RoboCop 3,238
520,Robin Hood: Men in Tights,2
521,Romeo Is Bleeding,6
522,Romper Stomper,13
523,Ruby in Paradise,1
524,Rudy,1
526,"Savage Nights (Nuits fauves, Les)",1
527,Schindler's List,148
528,"Scout, The",10
529,Searching for Bobby Fischer,1
531,"Secret Garden, The",56
532,Serial Mom,25
533,"Shadow, The",73
534,Shadowlands,9
535,Short Cuts,1
536,"Simple Twist of Fate, A",1
537,Sirens,1
538,Six Degrees of Separation,1
539,Sleepless in Seattle,11
540,Sliver,43
541,Blade Runner,29
542,Son in Law,11
543,So I Married an Axe Murderer,172
544,Striking Distance,57
546,Super Mario Bros.,157
547,Surviving the Game,38
548,Terminal Velocity,46
549,Thirty-Two Short Films About Glenn Gould,299
550,Threesome,4
551,"Nightmare Before Christmas, The",135
552,"Three Musketeers, The",96
553,Tombstone,13
555,True Romance,6
556,"War Room, The",22
558,"Pagemaster, The",188
562,Welcome to the Dollhouse,10
563,Germinal,9
564,Chasers,2
567,Kika,10
568,Bhaji on the Beach,10
569,Little Big League,10
573,"Ciao, Professore! (Io speriamo che me la cavo)",1
574,Spanking the Monkey,10
575,"Little Rascals, The",49
577,Andre,211
579,"Escort, The (Scorta, La)",6
580,Princess Caraboo,1
581,"Celluloid Closet, The",22
583,Dear Diary (Caro Diario),10
585,"Brady Bunch Movie, The",2
586,Home Alone,49
587,Ghost,191
588,Aladdin,8
589,Terminator 2: Judgment Day,34
590,Dances with Wolves,84
592,Batman,20
593,"Silence of the Lambs, The",79
594,Snow White and the Seven Dwarfs,94
595,Beauty and the Beast,212
596,Pinocchio,135
597,Pretty Woman,4
599,"Wild Bunch, The",205
600,Love and a .45,44
602,"Great Day in Harlem, A",22
605,One Fine Day,9
606,Candyman: Farewell to the Flesh,133
608,Fargo,103
609,Homeward Bound II: Lost in San Francisco,75
610,Heavy Metal,282
611,Hellraiser: Bloodline,62
612,"Pallbearer, The",2
613,Jane Eyre,9
615,Bread and Chocolate (Pane e cioccolata),10
616,"Aristocats, The",50
617,"Flower of My Secret, The (La flor de mi secreto)",10
618,Two Much,4
619,Ed,2
626,"Thin Line Between Love and Hate, A",2
627,"Last Supper, The",19
628,Primal Fear,219
631,All Dogs Go to Heaven 2,220
632,Land and Freedom (Tierra y libertad),148
633,Denise Calls Up,2
634,Theodore Rex,2
635,"Family Thing, A",10
636,Frisk,1
637,Sgt. Bilko,2
638,Jack and Sarah,107
639,Girl 6,10
640,Diabolique,19
645,Nelly & Monsieur Arnaud,1
647,Courage Under Fire,32
648,Mission: Impossible,38
649,Cold Fever (Á köldum klaka),10
650,Moll Flanders,1
653,Dragonheart,73
656,Eddie,2
661,James and the Giant Peach,128
662,Fear,43
663,Kids in the Hall: Brain Candy,2
665,Underground,10
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),37
668,Song of the Little Road (Pather Panchali),1
670,"World of Apu, The (Apur Sansar)",1
671,Mystery Science Theater 3000: The Movie,53
673,Space Jam,189
674,Barbarella,66
678,Some Folks Call It a Sling Blade,19
679,"Run of the Country, The",1
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",272
685,It's My Party,1
688,Operation Dumbo Drop,41
691,Mrs. Winterbourne,4
692,Solo,29
694,"Substitute, The",32
695,True Crime,201
697,Feeling Minnesota,9
698,Delta of Venus,1
700,Angus,2
703,Boys,1
704,"Quest, The",70
706,Sunset Park,1
707,Mulholland Falls,23
708,"Truth About Cats & Dogs, The",4
709,Oliver & Company,8
710,Celtic Pride,2
711,Flipper,75
714,Dead Man,177
715,"Horseman on the Roof, The (Hussard sur le toit, Le)",9
718,"Visitors, The (Visiteurs, Les)",228
719,Multiplicity,2
720,Wallace & Gromit: The Best of Aardman Animation,121
722,"Haunted World of Edward D. Wood Jr., The",22
724,"Craft, The",221
725,"Great White Hype, The",2
726,Last Dance,1
728,Cold Comfort Farm,2
731,Heaven's Prisoners,6
733,"Rock, The",38
735,Cemetery Man (Dellamorte Dellamore),12
736,Twister,215
737,Barb Wire,34
741,Ghost in the Shell (Kôkaku kidôtai),180
742,Thinner,16
743,Spy Hard,2
745,Wallace & Gromit: A Close Shave,28
747,"Stupids, The",2
748,"Arrival, The",29
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,2
757,Ashes of Time (Dung che sai duk),1
759,Maya Lin: A Strong Clear Vision,22
760,Stalingrad,148
761,"Phantom, The",70
762,Striptease,25
764,Heavy,9
765,Jack,10
766,I Shot Andy Warhol,1
773,Touki Bouki,1
775,Spirits of the Dead,12
778,Trainspotting,51
779,'Til There Was You,9
780,Independence Day (a.k.a. ID4),33
781,Stealing Beauty,1
782,"Fan, The",19
783,"Hunchback of Notre Dame, The",187
784,"Cable Guy, The",60
785,Kingpin,2
786,Eraser,40
788,"Nutty Professor, The",116
790,"Unforgettable Summer, An (Un été inoubliable)",1
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The",22
795,Somebody to Love,1
798,Daylight,99
799,"Frighteners, The",69
800,Lone Star,177
801,Harriet the Spy,49
802,Phenomenon,9
803,Walking and Talking,11
804,She's the One,4
805,"Time to Kill, A",19
806,American Buffalo,14
808,Alaska,75
809,Fled,70
810,Kazaam,240
813,Larger Than Life,2
818,"Very Brady Sequel, A",2
823,"Collector, The (La collectionneuse)",1
824,Kaspar Hauser,177
828,"Adventures of Pinocchio, The",75
829,Joe's Apartment,102
830,"First Wives Club, The",2
832,Ransom,6
833,High School High,2
835,Foxfire,1
836,Chain Reaction,38
837,Matilda,240
838,Emma,11
839,"Crow: City of Angels, The",46
840,House Arrest,49
841,"Eyes Without a Face (Yeux sans visage, Les)",12
842,Tales from the Crypt Presents: Bordello of Blood,58
848,"Spitfire Grill, The",1
849,Escape from L.A.,33
851,Basquiat,1
852,Tin Cup,11
858,"Godfather, The",14
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),72
866,Bound,61
867,Carpool,25
869,Kansas City,23
870,Gone Fishin',2
875,Nothing to Lose,32
876,Supercop 2 (Project S) (Chao ji ji hua),72
879,"Relic, The",16
880,"Island of Dr. Moreau, The",21
881,First Kid,49
882,"Trigger Effect, The",19
885,Bogus,183
886,Bulletproof,44
888,Land Before Time III: The Time of the Great Giving,164
889,1-900 (06),9
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),16
892,Twelfth Night,11
893,Mother Night,1
896,Wild Reeds (Les roseaux sauvages),1
897,For Whom the Bell Tolls,97
898,"Philadelphia Story, The",11
899,Singin' in the Rain,4
900,"American in Paris, An",107
901,Funny Face,2
902,Breakfast at Tiffany's,9
903,Vertigo,64
904,Rear Window,201
905,It Happened One Night,4
906,Gaslight,19
907,"Gay Divorcee, The",4
908,North by Northwest,215
909,"Apartment, The",11
910,Some Like It Hot,25
911,Charade,279
912,Casablanca,9
913,"Maltese Falcon, The",77
914,My Fair Lady,11
915,Sabrina,4
916,Roman Holiday,11
917,"Little Princess, The",56
918,Meet Me in St. Louis,77
919,"Wizard of Oz, The",27
920,Gone with the Wind,9
921,My Favorite Year,2
922,Sunset Blvd. (a.k.a. Sunset Boulevard),9
923,Citizen Kane,177
924,2001: A Space Odyssey,87
926,All About Eve,1
927,"Women, The",2
928,Rebecca,64
929,Foreign Correspondent,196
930,Notorious,163
931,Spellbound,163
932,"Affair to Remember, An",9
933,To Catch a Thief,171
934,Father of the Bride,2
935,"Band Wagon, The",2
936,Ninotchka,4
937,Love in the Afternoon,4
938,Gigi,77
940,"Adventures of Robin Hood, The",178
941,"Mark of Zorro, The",205
942,Laura,31
943,"Ghost and Mrs. Muir, The",89
944,Lost Horizon,1
945,Top Hat,4
946,To Be or Not to Be,10
947,My Man Godfrey,4
948,Giant,9
949,East of Eden,1
950,"Thin Man, The",25
951,His Girl Friday,4
952,Around the World in 80 Days,85
953,It's a Wonderful Life,187
954,Mr. Smith Goes to Washington,1
955,Bringing Up Baby,4
956,Penny Serenade,9
959,Of Human Bondage,1
961,Little Lord Fauntleroy,1
963,"Inspector General, The",77
965,"39 Steps, The",196
968,Night of the Living Dead,35
969,"African Queen, The",92
970,Beat the Devil,271
971,Cat on a Hot Tin Roof,1
973,Meet John Doe,10
976,"Farewell to Arms, A",107
979,Nothing Personal,148
981,Dangerous Ground,1
982,Picnic,1
984,"Pompatus of Love, The",10
986,Fly Away Home,75
987,Bliss,9
988,Grace of My Heart,10
990,Maximum Risk,38
991,Michael Collins,1
993,Infinity,1
994,Big Night,10
996,Last Man Standing,36
998,Set It Off,57
999,2 Days in the Valley,31
1003,Extreme Measures,19
1004,"Glimmer Man, The",46
1005,D3: The Mighty Ducks,49
1006,"Chamber, The",1
1007,"Apple Dumpling Gang, The",49
1008,"Davy Crockett, King of the Wild Frontier",205
1009,Escape to Witch Mountain,27
1010,"Love Bug, The",49
1011,Herbie Rides Again,216
1012,Old Yeller,56
1013,"Parent Trap, The",124
1014,Pollyanna,108
1015,Homeward Bound: The Incredible Journey,211
1016,"Shaggy Dog, The",49
1017,Swiss Family Robinson,75
1018,That Darn Cat!,49
1019,"20,000 Leagues Under the Sea",87
1020,Cool Runnings,2
1021,Angels in the Outfield,49
1022,Cinderella,212
1023,Winnie the Pooh and the Blustery Day,50
1024,"Three Caballeros, The",50
1025,"Sword in the Stone, The",135
1027,Robin Hood: Prince of Thieves,84
1028,Mary Poppins,240
1029,Dumbo,94
1030,Pete's Dragon,164
1031,Bedknobs and Broomsticks,75
1032,Alice in Wonderland,128
1033,"Fox and the Hound, The",183
1034,Freeway,103
1035,"Sound of Music, The",107
1036,Die Hard,20
1037,"Lawnmower Man, The",55
1040,"Secret Agent, The",1
1041,Secrets & Lies,1
1042,That Thing You Do!,10
1043,To Gillian on Her 37th Birthday,9
1046,Beautiful Thing,9
1047,"Long Kiss Goodnight, The",40
1049,"Ghost and the Darkness, The",70
1050,Looking for Richard,243
1051,Trees Lounge,1
1053,Normal Life,105
1054,Get on the Bus,1
1055,Shadow Conspiracy,43
1056,Jude,1
1057,Everyone Says I Love You,4
1059,William Shakespeare's Romeo + Juliet,9
1060,Swingers,10
1061,Sleepers,43
1064,Aladdin and the King of Thieves,154
1066,Shall We Dance,4
1068,Crossfire,31
1073,Willy Wonka & the Chocolate Factory,240
1076,"Innocents, The",277
1077,Sleeper,53
1078,Bananas,2
1079,"Fish Called Wanda, A",25
1080,Monty Python's Life of Brian,2
1081,Victor/Victoria,4
1082,"Candidate, The",1
1083,"Great Race, The",2
1084,Bonnie and Clyde,14
1085,"Old Man and the Sea, The",84
1086,Dial M for Murder,217
1088,Dirty Dancing,9
1089,Reservoir Dogs,217
1090,Platoon,148
1091,Weekend at Bernie's,2
1092,Basic Instinct,217
1093,"Doors, The",1
1094,"Crying Game, The",64
1095,Glengarry Glen Ross,1
1096,Sophie's Choice,1
1097,E.T. the Extra-Terrestrial,122
1099,"Christmas Carol, A",183
1100,Days of Thunder,109
1101,Top Gun,223
1103,Rebel Without a Cause,1
1104,"Streetcar Named Desire, A",1
1105,Children of the Corn IV: The Gathering,12
1107,Loser,2
1111,Microcosmos (Microcosmos: Le peuple de l'herbe),22
1112,Palookaville,100
1114,"Funeral, The",14
1116,"Single Girl, A (Fille seule, La)",1
1117,"Eighth Day, The (Huitième jour, Le)",1
1119,Drunks,1
1120,"People vs. Larry Flynt, The",10
1121,Glory Daze,1
1123,"Perfect Candidate, A",22
1124,On Golden Pond,1
1125,"Return of the Pink Panther, The",25
1126,Drop Dead Fred,102
1127,"Abyss, The",33
1128,"Fog, The",12
1129,Escape from New York,33
1130,"Howling, The",12
1131,Jean de Florette,177
1132,Manon of the Spring (Manon des sources),1
1135,Private Benjamin,2
1136,Monty Python and the Holy Grail,26
1137,Hustler White,107
1140,Entertaining Angels: The Dorothy Day Story,1
1144,"Line King: The Al Hirschfeld Story, The",22
1147,When We Were Kings,22
1148,Wallace & Gromit: The Wrong Trousers,193
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le)",1
1151,Lesson Faust,265
1156,"Children Are Watching Us, The (Bambini ci guardano, I)",1
1161,"Tin Drum, The (Blechtrommel, Die)",148
1162,"Ruling Class, The",10
1163,Mina Tannenbaum,1
1167,Dear God,2
1170,Best of the Best 3: No Turning Back,37
1171,Bob Roberts,2
1172,Cinema Paradiso (Nuovo cinema Paradiso),1
1173,"Cook the Thief His Wife & Her Lover, The",10
1175,Delicatessen,11
1176,"Double Life of Veronique, The (Double Vie de Véronique, La)",89
1177,Enchanted April,9
1178,Paths of Glory,148
1179,"Grifters, The",14
1180,Hear My Song,2
1183,"English Patient, The",9
1184,Mediterraneo,10
1185,My Left Foot,1
1186,"Sex, Lies, and Videotape",1
1187,Passion Fish,1
1188,Strictly Ballroom,4
1189,"Thin Blue Line, The",22
1190,Tie Me Up! Tie Me Down! (¡Átame!),105
1191,Madonna: Truth or Dare,22
1192,Paris Is Burning,22
1193,One Flew Over the Cuckoo's Nest,1
1194,Cheech and Chong's Up in Smoke,2
1196,Star Wars: Episode V - The Empire Strikes Back,5
1197,"Princess Bride, The",96
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),70
1199,Brazil,180
1200,Aliens,282
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",70
1202,Withnail & I,2
1203,12 Angry Men,1
1204,Lawrence of Arabia,84
1206,"Clockwork Orange, A",239
1207,To Kill a Mockingbird,1
1208,Apocalypse Now,222
1209,Once Upon a Time in the West (C'era una volta il West),13
1210,Star Wars: Episode VI - Return of the Jedi,5
1211,"Wings of Desire (Himmel über Berlin, Der)",89
1212,"Third Man, The",201
1213,Goodfellas,14
1214,Alien,24
1215,Army of Darkness,145
1216,"Big Blue, The (Grand bleu, Le)",97
1217,Ran,148
1218,"Killer, The (Die xue shuang xiong)",36
1219,Psycho,199
1220,"Blues Brothers, The",7
1221,"Godfather: Part II, The",14
1222,Full Metal Jacket,148
1223,"Grand Day Out with Wallace and Gromit, A",189
1224,Henry V,109
1225,Amadeus,1
1226,"Quiet Man, The",9
1227,Once Upon a Time in America,14
1228,Raging Bull,1
1230,Annie Hall,4
1231,"Right Stuff, The",1
1232,Stalker,30
1233,"Boot, Das (Boat, The)",222
1234,"Sting, The",25
1235,Harold and Maude,11
1236,Trust,11
1237,"Seventh Seal, The (Sjunde inseglet, Det)",1
1238,Local Hero,2
1240,"Terminator, The",29
1241,Dead Alive (Braindead),39
1242,Glory,148
1243,Rosencrantz and Guildenstern Are Dead,10
1244,Manhattan,11
1245,Miller's Crossing,23
1246,Dead Poets Society,1
1247,"Graduate, The",11
1248,Touch of Evil,6
1249,"Femme Nikita, La (Nikita)",186
1250,"Bridge on the River Kwai, The",84
1251,8 1/2 (8½),112
1252,Chinatown,217
1253,"Day the Earth Stood Still, The",65
1254,"Treasure of the Sierra Madre, The",42
1255,Bad Taste,68
1256,Duck Soup,2
1257,Better Off Dead...,4
1258,"Shining, The",12
1259,Stand by Me,84
1260,M,6
1261,Evil Dead II (Dead by Dawn),176
1262,"Great Escape, The",42
1263,"Deer Hunter, The",148
1264,Diva,184
1265,Groundhog Day,162
1266,Unforgiven,1
1267,"Manchurian Candidate, The",6
1268,Pump Up the Volume,10
1269,Arsenic and Old Lace,60
1270,Back to the Future,66
1271,Fried Green Tomatoes,51
1272,Patton,148
1273,Down by Law,10
1274,Akira,254
